 3, 0.0, 0.000000, 1, 3, 0.0000
 3, 0.0, 0.000000, 1, 3, 0.0000
 3, 0.0, 0.000000, 1, 3, 0.0000
 3, 0.0, 0.000000, 1, 3, 0.0000
 3, 0.0, 0.000000, 1, 3, 0.0000
 3, 0.0, 0.000000, 1, 3, 0.0000
 3, 0.0, 0.000000, 1, 3, 0.0000
 3, 0.0, 0.000000, 1, 3, 0.0000
 3, 0.0, 0.000000, 1, 3, 0.0000
 3, 0.0, 0.000000, 1, 3, 0.0000
 3, 0.1, 0.013946, 1, 3, 0.5943, 0.2341
 3, 0.1, 0.020456, 2, 3, 0.2033, 0.6535
 3, 0.1, 0.020481, 1, 3, 0.6206, 0.2107
 3, 0.1, 0.017992, 2, 3, 0.1671, 0.8497
 3, 0.1, 0.024866, 1, 3, 0.5296, 0.2461
 3, 0.1, 0.015022, 2, 3, 0.1877, 0.7157
 3, 0.1, 0.019912, 1, 3, 0.6748, 0.1859
 3, 0.1, 0.013051, 1, 3, 0.8590, 0.1508
 3, 0.1, 0.012543, 2, 3, 0.3181, 0.4037
 3, 0.1, 0.016447, 2, 3, 0.1722, 0.7786
 3, 0.2, 0.014106, 1, 2, 0.0769, 0.7848
 3, 0.2, 0.019116, 1, 2, 0.0578, 0.7724
 3, 0.2, 0.010323, 1, 2, 0.1635, 0.9371
 3, 0.2, 0.011056, 1, 2, 0.1233, 0.8539
 3, 0.2, 0.013640, 1, 2, 0.0332, 0.7174
 3, 0.2, 0.020748, 1, 2, 0.1047, 0.9336
 3, 0.2, 0.024738, 1, 2, 0.0976, 0.7426
 3, 0.2, 0.018448, 1, 2, 0.0699, 0.7720
 3, 0.2, 0.022155, 2, 3, 0.3211, 0.6984
 3, 0.2, 0.016863, 1, 2, 0.1272, 0.8909
 3, 0.3, 0.020748, 1, 2, 0.1330, 0.3101
 3, 0.3, 0.020236, 1, 2, 0.2392, 0.5429
 3, 0.3, 0.021486, 1, 2, 0.2183, 0.4064
 3, 0.3, 0.023017, 1, 2, 0.0540, 0.2623
 3, 0.3, 0.024559, 1, 2, 0.1117, 0.2790
 3, 0.3, 0.018546, 1, 2, 0.3077, 0.8876
 3, 0.3, 0.027031, 1, 2, 0.0478, 0.2516
 3, 0.3, 0.023072, 1, 2, 0.1871, 0.4899
 3, 0.3, 0.017126, 1, 2, 0.1303, 0.3051
 3, 0.3, 0.024134, 1, 2, 0.0107, 0.2402
 3, 0.4, 0.019941, 1, 2, 0.5748
 3, 0.4, 0.020190, 1, 2, 0.4059, 0.1306
 3, 0.4, 0.014351, 1, 2, 0.4134
 3, 0.4, 0.032995, 1, 2, 0.3582, 0.3353
 3, 0.4, 0.026055, 1, 2, 0.4210, 0.8727
 3, 0.4, 0.030489, 1, 2, 0.4763
 3, 0.4, 0.026361, 1, 2, 0.4390, 0.1316
 3, 0.4, 0.020008, 1, 2, 0.3624, 0.4455
 3, 0.4, 0.026613, 1, 2, 0.6056
 3, 0.4, 0.038283, 1, 2, 0.3535, 0.1422
 3, 0.5, 0.023125, 1, 2, 0.9343, 0.2151
 3, 0.5, 0.024290, 1, 2, 0.8085, 0.2498
 3, 0.5, 0.036122, 1, 2, 0.4784, 0.7599
 3, 0.5, 0.022236, 1, 2, 0.6495, 0.2836
 3, 0.5, 0.023539, 1, 2, 0.9589, 0.2418
 3, 0.5, 0.011892, 1, 2, 0.9921, 0.2279
 3, 0.5, 0.036457, 1, 2, 0.8148, 0.2580
 3, 0.5, 0.019991, 1, 2, 0.8439, 0.2220
 3, 0.5, 0.025497, 1, 2, 0.5330, 0.9530
 3, 0.5, 0.020244, 1, 2, 0.9825, 0.2113
 3, 0.6, 0.027722, 1, 2, 0.5751, 0.5129
 3, 0.6, 0.023729, 1, 2, 0.5571, 0.6147
 3, 0.6, 0.022879, 1, 2, 0.9562, 0.4315
 3, 0.6, 0.020646, 1, 2, 0.7489, 0.4138
 3, 0.6, 0.024771, 1, 2, 0.8849, 0.4331
 3, 0.6, 0.021492, 1, 2, 0.6927, 0.4323
 3, 0.6, 0.019192, 1, 2, 0.9692, 0.4116
 3, 0.6, 0.038474, 1, 2, 0.5523, 0.7230
 3, 0.6, 0.029478, 1, 2, 0.7148, 0.4361
 3, 0.6, 0.036870, 1, 2, 0.5681, 0.5874
 3, 0.7, 0.020150, 1, 2, 0.7171, 0.5610
 3, 0.7, 0.029735, 1, 2, 0.6619, 0.5856
